"Estimator","Bias","MSE","SE_bootstrap","avg_analyticSE","Ratio_BiasSE_bootstrap","Ratio_BiasSE_analytic","Coverage_bootstrapSE","Coverage_analyticSE"
"ATMLE",0.0179947315366413,0.00286738515560608,0.0506879420296613,0.0393974249377241,0.355010103312365,0.5040540509164,0.93,0.89
"ATMLE_glmnet",0.00225270002862022,0.0108023893483105,0.104433607979654,0.0745181353279779,0.0215706425565523,0.110618397805319,0.93,0.91
"ATMLE_HAL",-0.00378541119921853,0.0138166393000272,0.11807509150716,0.0827962894239815,-0.0320593543557743,0.022239940594614,0.94,0.91
"TMLE_glmQ",0.00236131142463873,0.0176398972852924,0.133463275672299,0.123434590090049,0.0176925930578582,0.0227068633375821,0.95,0.92
"TMLE_slQ",-0.00782633803482089,0.00451651541025799,0.0673110450796748,0.0735060423448506,-0.116271230457899,-0.111795622546703,0.966666666666667,1
"TMLE_glmQ_glmG",0.00193658541979858,0.0177427841507769,0.133858940482735,0.123863022611431,0.0144673595414298,0.0184214591365361,0.95,0.92
"TMLE_slQ_glmG",-0.00800387998834775,0.00447678149246982,0.0669888890174974,0.0738174543438378,-0.119480709498812,-0.115698752631969,0.966666666666667,1
"Unadjusted",0.0732062366316469,0.821131541038931,0.907751349813396,0.902842224674135,0.0806456929496119,0.0832386951609078,0.97,0.97
