"Estimator","Bias","MSE","SE_bootstrap","avg_analyticSE","Ratio_BiasSE_bootstrap","Ratio_BiasSE_analytic","Coverage_bootstrapSE","Coverage_analyticSE"
"ATMLE",0.0372138248841962,0.0053565465730423,0.063338738290345,0.0636521451637096,0.587536567489045,0.584004494948264,0.89,0.89
"ATMLE_glmnet",-0.0115176831980878,0.0209840185378873,0.145127465783995,0.129915765469983,-0.0793625323495314,-0.081121557464851,0.96,0.88
"ATMLE_HAL",0.0461855658825602,0.0259583153727732,0.155131774799378,0.124092641286581,0.297718284615057,0.393337200970797,0.93,0.87
"TMLE_glmQ",0.00160838920837817,0.0179332281283991,0.134579934613445,0.12376182338181,0.0119511813778032,0.0159124132450728,0.95,0.92
"TMLE_glmQ_glmG",0.0013468081835225,0.0180133713205262,0.134883254526871,0.124176230880325,0.00998499174895127,0.0128822332596345,0.95,0.91
"Unadjusted",0.0732062366316463,0.821131541038936,0.907751349813399,0.902842224674135,0.080645692949611,0.0832386951609069,0.97,0.97
